 ========================================================
       E/V           P              n           eps      
    (MeV/fm3)     (MeV/fm3)      (#/fm3)    (erg/cm^3/s) 
 ========================================================
   0.86206E+02   0.97390E+00   0.90922E-01   0.00000E+00
   0.86398E+02   0.97940E+00   0.91122E-01   0.00000E+00
   0.86590E+02   0.98492E+00   0.91322E-01   0.00000E+00
   0.86782E+02   0.99045E+00   0.91522E-01   0.00000E+00
   0.86974E+02   0.99601E+00   0.91722E-01   0.00000E+00
   0.87165E+02   0.10016E+01   0.91922E-01   0.00000E+00
   0.87357E+02   0.10072E+01   0.92122E-01   0.00000E+00
   0.87549E+02   0.10128E+01   0.92322E-01   0.00000E+00
   0.87741E+02   0.10184E+01   0.92522E-01   0.00000E+00
   0.87933E+02   0.10241E+01   0.92722E-01   0.00000E+00
   0.88125E+02   0.10297E+01   0.92922E-01   0.00000E+00
   0.88317E+02   0.10354E+01   0.93122E-01   0.00000E+00
   0.88509E+02   0.10411E+01   0.93322E-01   0.00000E+00
   0.88700E+02   0.10468E+01   0.93522E-01   0.00000E+00
   0.88892E+02   0.10526E+01   0.93722E-01   0.00000E+00
   0.89084E+02   0.10583E+01   0.93922E-01   0.00000E+00
   0.89276E+02   0.10641E+01   0.94122E-01   0.00000E+00
   0.89468E+02   0.10699E+01   0.94322E-01   0.00000E+00
   0.89660E+02   0.10758E+01   0.94522E-01   0.00000E+00
   0.89852E+02   0.10816E+01   0.94722E-01   0.00000E+00
   0.90044E+02   0.10875E+01   0.94922E-01   0.00000E+00
   0.90236E+02   0.10933E+01   0.95122E-01   0.00000E+00
   0.90428E+02   0.10992E+01   0.95322E-01   0.00000E+00
   0.90620E+02   0.11051E+01   0.95522E-01   0.00000E+00
   0.90812E+02   0.11111E+01   0.95722E-01   0.00000E+00
   0.91004E+02   0.11170E+01   0.95922E-01   0.00000E+00
   0.91197E+02   0.11230E+01   0.96122E-01   0.00000E+00
   0.91389E+02   0.11290E+01   0.96322E-01   0.00000E+00
   0.91581E+02   0.11350E+01   0.96522E-01   0.00000E+00
   0.91773E+02   0.11411E+01   0.96722E-01   0.00000E+00
